LOC_ID  FICT_METER_NO      Description
ML-77   MLD_BUS_4      MALDA 400 KV BUS
RG-77   RGP_BUS_4      RANGPO 400 KV BUS
LK-77   LKS_BUS_4      LAKHISARAI 400 KV BUS
KE-77   KJR_BUS_4      KEONJHAR 400 KV BUS
PB-77   PBL_BUS_4      PANDIABILI 400 KV BUS
KS-77   KSN_BUS_4      KISHANGANJ 400 KV BUS
AL-77   ALPD_BUS_4     ALIPURDUAR 400 KV BUS
DB-77   DBG_BUS_4      DARBHANGA 400 KV BUS
MO-77   MOT_BUS_4      MOTIHARI 400 KV BUS
SN-77   SND_BUS_4      SUNDERGRAH 400 KV BUS
DL-77   DLT_BUS_4      DALTONGANJ 400 KV BUS
RJ-77   RJRT_BUS_4     RAJARHAT 400 KV BUS
MA-77   MAND_BUS_4     MANDECCHU 400 KV BUS
CH-77   CHAN_BUS_4     CHANDAUTI 400 KV BUS
ME-77   MED_BUS_4      MEDINIPUR 400 KV BUS
SI-77   SIT_BUS_4      SITAMARHI 400 KV BUS
NJ-77   NJRT_BUS_4     N.JEERAT 400 KV BUS
DH-77   DHN_BUS_4      DHANBAD 400 KV BUS
SH-77   SAH_BUS_4      SAHARSHA 400 KV BUS
NU-77   NAB_BUS_4      NAUBATPUR 400 KV BUS
JK-77   JAK_BUS_4      JAKKANPUR 400 KV BUS
BZ-79   BIR_BUS_2      BIRPARA 220 KV BUS
BN-79   BINA-BUS_2     BINAGURI 220 KV BUS 
ML-79   MLD_BUS_2      MALDA 220 KV BUS
RK-79   RKL_TRN_2      ROURKELA 220KV BUS
RE-79   REN_TRN_2      RENGALI 220 KV BUS
MT-79   MTN_TRN_2      MAITHON 220 KV BUS
DR-79   DGP_BUS_2      DURGAPUR 220 KV BUS
PU-79   PUSL_TRN_2     PUSUALI 220 KV BUS
AR-79   ARA_BUS_2      ARA 220 KV BUS    
BP-79   BPD_BUS_2      BARIPADA 220 KV BUS   
PR-79   PRN_BUS_2      PURNEA 220 KV BUS
GA-79   GAYA_BUS_2     GAYA 220 KV BUS
PA-79   PAT_BUS_2      PATNA 220 KV BUS
DK-79   DLK_BUS_2      DALKHOLA 220 KV BUS
SG-79   SGM_BUS_2      SUBHASGRAM 220 KV BUS 
