LOC_ID	METER NO.    CTR     PTR	     PLACE OF INSTALLATION
DP-03   ER-1094-A    2000    6954.5455    765 KV DARLIPALLI(NTPC)-SUNDERGARH(PG)-1(MAIN)
DP-04   ER-1097-A    2000    6954.5455    765 KV DARLIPALLI(NTPC)-SUNDERGARH(PG)-1(CHECK)
DP-05   ER-1091-A    2000    6954.5455    765 KV DARLIPALLI(NTPC)-SUNDERGARH(PG)-2(MAIN)
DP-06   ER-1095-A    2000    6954.5455    765 KV DARLIPALLI(NTPC)-SUNDERGARH(PG)-2(CHECK)
DP-07   ER-1025-A    500     6954.5455    765 KV SIDE OF DARLIPALLI(NTPC) 765/132 KV 255MVA ICT-2
DP-08   ER-1024-A    2000    1200.0000    132 KV SIDE OF DARLIPALLI(NTPC) 765/132 KV 255MVA ICT-2
DP-09   ER-1767-A    500     6954.5455    765 KV SIDE OF DARLIPALLI(NTPC) 765/132 KV 255MVA ICT-1
DP-10   ER-1768-A    2000    1200.0000    132 KV SIDE OF DARLIPALLI(NTPC) 765/132 KV 255MVA ICT-1
DP-11   ER-1769-A    600     1200.0000    132 KV SIDE OF STN TRN-1 DARLIPALLI(NTPC)
DP-12   ER-1460-A    600     1200.0000    132 KV SIDE OF STN TRN-2 DARLIPALLI(NTPC)
DP-13   ER-1753-A    3000    100.0000     11  KV TIE Feeder 2SB DARLIPALLI(NTPC)
DP-14   ER-1011-A    3000    100.0000     11  KV TIE Feeder 2SA DARLIPALLI(NTPC)
DP-15   ER-2053-A    300     300.0000     33  KV DARLIPALLI(NTPC) - DULANGA CMP(OCPL)-2(MAIN)
DP-16   ER-2054-A    300     300.0000     33  KV DARLIPALLI(NTPC) - DULANGA CMP(OCPL)-2(CHECK)
DP-17   ER-2057-A    300     300.0000     33  KV DARLIPALLI(NTPC) - DULANGA CMP(OCPL)-1(MAIN)
DP-18   ER-2058-A    300     300.0000     33  KV DARLIPALLI(NTPC) - DULANGA CMP(OCPL)-1(CHECK)
CU-01   LT-0216-A    600     2000.0000    220 KV CHUKHA (CHPC)-BIRPARA(PG)-1
CU-02   LT-0237-A    600     2000.0000    220 KV CHUKHA (CHPC)-BIRPARA(PG)-2
CU-03   LT-0222-A    600     2000.0000    220 KV CHUKHA (CHPC)-MALBASE(CHPC)
CU-05	NP-0571-A    600     2000.0000	  CHUKHA (CHPC) GENERATOR -I
CU-06	NP-0596-A    600     2000.0000	  CHUKHA (CHPC) GENERATOR -II
CU-07	NP-0483-A    600     2000.0000	  CHUKHA (CHPC) GENERATOR -III
CU-08	NP-0408-A    600     2000.0000	  CHUKHA (CHPC) GENERATOR -IV
TH-01   NP-5828-A    2000    3636.3636    400 KV TALA(BHUTAN)-BINAGURI(PG)-1 
TH-02   NP-5829-A    2000    3636.3636    400 KV TALA(BHUTAN)-BINAGURI(PG)-2(CHECK)
TH-04   NP-7529-A    2000    3636.3636    400 KV TALA(BHUTAN)-BINAGURI(PG)-4
TH-05   LT-0223-A    2000    3636.3636    400 KV TALA(BHUTAN)-BINAGURI(PG)-2(MAIN)
