FICTMTRS.DAT for the date 2018-01-01 to  2018-05-31
----------------------------------------------------

Loc_Id    Meter_No            Description
BH-55     B55-CHK             BARH-BAL-1 CHECK METER

EC-95     BIN-JPG-CH          BINAGURI -JALPAIGURI CHK

EC-61     SGR-220-T           SUBHASGRAM 200 KV FEEDERS

EC-62     SGR-ICTS            SUBHASGRAM ICTS

EC-63     MLB-IC-LN           MALBASE ICT AND LINE

EC-64     SGR-400-BS          SUBHASGRAM 400 KV BUS

EC-65     RAN_220_FD          RANCHI 200 KV FEEDERS

EC-67     ARA-220-XTN         ARA 220KV TRANSFORMER

EC-68     MTH-RAN_IC4         400 KV SIDE OF RANCHI ICTS

EC-69     MTN-RNC-IC2         200 KV SIDE OF RANCHI ICTS

EC-71     GTK_132_ICS         GANGTOK 132 KV SIDE OF ICTS

EC-72     GKT_66_ICTS         GANGTOK 66 KV SIDE OF ICTS

JS-99     PATR-PATRA          PATRATU-PATRATU_SUM

EC-73     BSEB_PAT_FDR        220 KV BSEB DRL FROM PATNA

BI-88     KSN-FRB-FDR         132 PURNEA-KSN FARBISGANJ

EC-74     220_PAT_ICT         220 KV SIDE OF PAT ICTS

KR-91     KUR_NET_REC         KURUCHU NET RECEIPT

BN-91     BAN_NET_DRL         BANGALA NET DRAWL

RN-95     REG-NT-GEN          NET C.S.GEN OF REGION

RN-96     RGN-NT-DRL          NET DRAWAL OF CONSTITUENTSN

RN-97     RGN-LOSS            LOSS IN C.S. SYSTEM & TIE LINES

BM-99     BM-99               BM-99

