MASTER.DAT for the date 2018-01-01 to  2018-01-14
----------------------------------------------------

Loc_Id    Meter_No         CTR            PTR                    Place Of Installation
TL-26     NP-5113-A        500            3636.3636              400 KV SIDE OF TALCHER 400/220KV ATR-2(CHK MTR)

TL-27     NP-5078-A        1000           3636.3636              400 KV TALCHER (NTPC)-MIRAMUNDALI(GRIDCO)-CHK

TL-28     NP-5104-A        1000           3636.3636              400 KV TALCHER (NTPC)-ANGUL(PG)-CHK

TL-30     NP-5979-A        150            100.000                11 KV TALCHER SOLAR PLANT-SOLAR MCC-1 (MAIN)

TL-31     NP-7909-A        150            100.000                11 KV TALCHER SOLAR PLANT-SOLAR MCC-1 (CHECK)

TL-32     NP-7961-A        150            100.000                11 KV TALCHER SOLAR MCC-SOLAR PLANT-1 (STANDBY)

TL-33     NP-7626-A        150            100.000                11 KV TALCHER SOLAR PLANT-SOLAR MCC-2 (MAIN)

TL-34     NP-7962-A        150            100.000                11 KV TALCHER SOLAR PLANT-SOLAR MCC-2 (CHECK)

TL-35     NP-7628-A        150            100.000                11 KV TALCHER SOLAR MCC-SOLAR PLANT-2 (STANDBY)

TL-36     NP-7630-A        450            100.000                11 KV TALCHER SOLAR PLANT-SOLAR MCC-3 (MAIN)

TL-37     NP-7946-A        450            100.000                11 KV TALCHER SOLAR PLANT-SOLAR MCC-3 (CHECK)

TL-38     NP-5968-A        450            100.000                11 KV TALCHER SOLAR MCC-SOLAR PLANT-3 (STANDBY)

TL-39     NP-7631-A        450            100.000                11 KV TALCHER SOLAR PLANT-SOLAR MCC-4 (MAIN)

TL-40     NP-7945-A        450            100.000                11 KV TALCHER SOLAR PLANT-SOLAR MCC-4 (CHECK)

TL-41     NP-7633-A        450            100.000                11 KV TALCHER SOLAR MCC-SOLAR PLANT-4 (STANDBY)

BH-02     NP-8677-A        2000           3636.3636              400 KV SIDE OF BARH GT-4

BH-03     NP-8651-A        2000           3636.3636              400 KV SIDE OF BARH GT-5

BH-04     NP-6111-A        3000           3636.3636              400 KV BARH(NTPC)-KAHALGAON(NTPC)-I(MAIN)

BH-05     NP-8684-A        3000           3636.3636              400 KV BARH(NTPC)-KAHALGAON(NTPC)-II(MAIN)

BH-06     NP-6080-A        3000           3636.3636              400 KV BARH(NTPC)-PATNA(PG)-1(MAIN)

BH-07     NP-8682-A        3000           3636.3636              400 KV BARH(NTPC)-PATNA(PG)-2(MAIN)

BH-08     NP-8635-A        3000           3636.3636              400 KV BARH(NTPC)-PATNA(PG)-3(MAIN)

BH-09     NP-8685-A        3000           3636.3636              400 KV BARH(NTPC)-PATNA(PG)-3(CHECK)

BH-10     NP-8636-A        3000           3636.3636              400 KV BARH(NTPC)-PATNA(PG)-4(MAIN)

BH-11     NP-8667-A        3000           3636.3636              400 KV BARH(NTPC)-PATNA(PG)-4(CHECK)

BH-12     NP-6531-A        500            3636.3636              400 KV SIDE OF 200 MVA 400/132 KV BARH ICT-1

BH-13     NP-7481-A        500            3636.3636              400 KV SIDE OF 200 MVA 400/132 KV BARH ICT-2

BH-14     NP-8686-A        3000           3636.3636              400 KV BARH(NTPC)-KAHALGAON(NTPC)-II(CHECK)

BH-15     NP-8683-A        3000           3636.3636              400 KV BARH(NTPC)-PATNA(PG)-2(CHECK)

BH-16     NP-8657-A        600            1200.0000              132 KV SIDE OF BARH 132/11 KV STN TRF-4

BH-17     NP-8666-A        600            1200.0000              132 KV SIDE OF BARH 132/11 KV STN TRF-5

BH-18     NP-8647-A        3000           3636.3636              400 KV BARH(NTPC)- MOTIHARI(DMTCL) LINE-2(MAIN)

BH-19     NP-8648-A        3000           3636.3636              400 KV BARH(NTPC)- MOTIHARI(DMTCL) LINE-2(CHECK)

BH-20     NP-8649-A        3000           3636.3636              400 KV BARH(NTPC)- MOTIHARI(DMTCL) LINE-1(MAIN)

BH-21     NP-8650-A        3000           3636.3636              400 KV BARH(NTPC)- MOTIHARI(DMTCL) LINE-1(CHECK)

BH-22     NP-7482-A        500            3636.3636              400 KV SIDE OF 200 MVA 400/132 KV BARH ICT-3

BH-23     NP-8863-A        3000           3636.3636              400 KV BARH(NTPC)-KAHALGAON(NTPC)-I(CHECK)

BH-24     NP-8864-A        3000           3636.3636              400 KV BARH(NTPC)-PATNA(PG)-I(CHECK)

DP-03     ER-1094-A        2000           6954.5455              765 KV DARLIPALLI(NTPC)-SUNDERGARH(PG)-1(MAIN)

DP-04     ER-1097-A        2000           6954.5455              765 KV DARLIPALLI(NTPC)-SUNDERGARH(PG)-1(CHECK)

DP-05     ER-1091-A        2000           6954.5455              765 KV DARLIPALLI(NTPC)-SUNDERGARH(PG)-2(MAIN)

DP-06     ER-1095-A        2000           6954.5455              765 KV DARLIPALLI(NTPC)-SUNDERGARH(PG)-2(CHECK)

CU-01     LT-0216-A        600            2000.0000              220 KV CHUKHA (CHPC)-BIRPARA(PG)-1

CU-02     LT-0237-A        600            2000.0000              220 KV CHUKHA (CHPC)-BIRPARA(PG)-2

CU-03     LT-0222-A        600            2000.0000              220 KV CHUKHA (CHPC)-MALBASE(CHPC)

CU-05     NP-0571-A        600            2000.0000              CHUKHA (CHPC) GENERATOR -I

CU-06     NP-0596-A        600            2000.0000              CHUKHA (CHPC) GENERATOR -II

CU-07     NP-0483-A        600            2000.0000              CHUKHA (CHPC) GENERATOR -III

CU-08     NP-0408-A        600            2000.0000              CHUKHA (CHPC) GENERATOR -IV

TH-01     NP-5828-A        2000           3636.3636              400 KV TALA-BINAGURI-1 (MAIN)

TH-02     NP-5829-A        2000           3636.3636              400 KV TALA-BINAGURI-2 (MAIN)

TH-04     NP-7529-A        2000           3636.3636              400 KV TALA-BINAGURI-4 (MAIN)

TH-05     LT-0223-A        2000           3636.3636              400 KV TALA-BINAGURI-2 (CHECK)

TH-06     LT-0217-A        2000           3636.3636              400 KV TALA-BINAGURI-3 (MAIN)

BT-33     NP-5096-A        800            2000.0000              220 KV MALBASE-CHUKHA

